step,molecule_id,molecule_type,measurement_type,measurement_id,value,equilibrium,deviation
15,3,ammonia,bond,0,1.008805,1.010000,0.001195
15,3,ammonia,bond,1,1.006770,1.010000,0.003230
15,3,ammonia,bond,2,0.998245,1.010000,0.011755
15,3,ammonia,angle,0,105.868317,107.000000,1.131683
15,3,ammonia,angle,1,107.493601,107.000000,0.493601
15,3,ammonia,angle,2,105.696087,107.000000,1.303913
15,4,acetylene,bond,0,1.058644,1.060000,0.001356
15,4,acetylene,bond,1,1.193669,1.200000,0.006331
15,4,acetylene,bond,2,1.067980,1.060000,0.007980
15,4,acetylene,angle,0,178.031704,180.000000,1.968296
15,4,acetylene,angle,1,177.962299,180.000000,2.037701
15,5,hcl,bond,0,1.271055,1.270000,0.001055
20,0,methane,bond,0,1.089001,1.090000,0.000999
20,0,methane,bond,1,1.100963,1.090000,0.010963
20,0,methane,bond,2,1.090914,1.090000,0.000914
20,0,methane,bond,3,1.097951,1.090000,0.007951
20,0,methane,angle,0,110.318486,109.500000,0.818486
20,0,methane,angle,1,109.671161,109.500000,0.171161
20,0,methane,angle,2,109.377690,109.500000,0.122310
20,0,methane,angle,3,108.942752,109.500000,0.557248
20,0,methane,angle,4,108.177323,109.500000,1.322677
20,0,methane,angle,5,110.335711,109.500000,0.835711
20,1,water,bond,0,0.968486,0.960000,0.008486
20,1,water,bond,1,0.974721,0.960000,0.014721
20,1,water,angle,0,104.864113,104.500000,0.364113
20,2,co2,bond,0,1.165345,1.160000,0.005345
20,2,co2,bond,1,1.150732,1.160000,0.009268
20,2,co2,angle,0,178.865559,180.000000,1.134441
20,3,ammonia,bond,0,1.011890,1.010000,0.001890
20,3,ammonia,bond,1,1.005610,1.010000,0.004390
20,3,ammonia,bond,2,0.994194,1.010000,0.015806
20,3,ammonia,angle,0,105.843407,107.000000,1.156593
20,3,ammonia,angle,1,107.443722,107.000000,0.443722
20,3,ammonia,angle,2,105.639291,107.000000,1.360709
20,4,acetylene,bond,0,1.057925,1.060000,0.002075
20,4,acetylene,bond,1,1.193770,1.200000,0.006230
20,4,acetylene,bond,2,1.068807,1.060000,0.008807
20,4,acetylene,angle,0,177.925800,180.000000,2.074200
20,4,acetylene,angle,1,177.812632,180.000000,2.187368
20,5,hcl,bond,0,1.270203,1.270000,0.000203
25,0,methane,bond,0,1.090338,1.090000,0.000338
25,0,methane,bond,1,1.102361,1.090000,0.012361
25,0,methane,bond,2,1.093531,1.090000,0.003531
25,0,methane,bond,3,1.096788,1.090000,0.006788
25,0,methane,angle,0,110.164422,109.500000,0.664422
25,0,methane,angle,1,109.569073,109.500000,0.069073
25,0,methane,angle,2,109.436298,109.500000,0.063702
25,0,methane,angle,3,108.761650,109.500000,0.738350
25,0,methane,angle,4,108.231161,109.500000,1.268839
25,0,methane,angle,5,110.661482,109.500000,1.161482
25,1,water,bond,0,0.971169,0.960000,0.011169
25,1,water,bond,1,0.976871,0.960000,0.016871
25,1,water,angle,0,104.865422,104.500000,0.365422
25,2,co2,bond,0,1.165413,1.160000,0.005413
25,2,co2,bond,1,1.151093,1.160000,0.008907
25,2,co2,angle,0,178.844572,180.000000,1.155428
25,3,ammonia,bond,0,1.014967,1.010000,0.004967
25,3,ammonia,bond,1,1.004486,1.010000,0.005514
25,3,ammonia,bond,2,0.990184,1.010000,0.019816
25,3,ammonia,angle,0,105.817807,107.000000,1.182193
