step,atom_id,type,fx_lj,fy_lj,fz_lj
30,14,H,-0.000058,-0.000098,-0.000048
30,15,H,0.024127,0.000458,0.022688
30,16,C,-0.000020,-0.000002,-0.000001
30,17,C,0.000028,0.000002,0.000002
30,18,H,-0.001353,-0.000013,-0.000040
30,19,H,0.001385,0.000012,0.000040
30,20,Cl,0.000011,-0.000000,-0.000000
35,0,C,0.000000,-0.000001,-0.000003
35,1,H,0.000019,0.000018,0.000019
35,2,H,0.000016,-0.000016,-0.000016
35,3,H,-0.000017,0.000018,-0.000018
35,4,H,-0.000018,-0.000019,0.000018
35,5,O,-0.000004,-0.000108,-0.000002
35,6,H,0.000067,0.000058,0.000000
35,7,H,-0.000068,0.000052,0.000001
35,8,O,-0.000065,-0.000003,0.000000
35,9,C,-0.000012,0.000001,0.000002
35,10,O,0.000081,-0.000000,-0.000002
35,11,N,0.000033,0.000022,0.000119
35,12,H,-0.025273,-0.000531,-0.023931
35,13,H,-0.000047,0.000080,-0.000038
35,14,H,-0.000061,-0.000103,-0.000051
35,15,H,0.025297,0.000534,0.023901
35,16,C,-0.000019,-0.000002,-0.000001
35,17,C,0.000029,0.000002,0.000002
35,18,H,-0.001360,-0.000016,-0.000048
35,19,H,0.001391,0.000015,0.000047
35,20,Cl,0.000011,-0.000000,-0.000000
40,0,C,0.000000,-0.000000,-0.000004
40,1,H,0.000018,0.000018,0.000018
40,2,H,0.000016,-0.000016,-0.000016
40,3,H,-0.000016,0.000017,-0.000017
40,4,H,-0.000018,-0.000019,0.000018
40,5,O,-0.000003,-0.000104,-0.000002
40,6,H,0.000065,0.000056,0.000000
40,7,H,-0.000066,0.000050,0.000001
40,8,O,-0.000065,-0.000003,0.000000
40,9,C,-0.000011,0.000001,0.000002
40,10,O,0.000081,-0.000000,-0.000002
40,11,N,0.000039,0.000026,0.000121
40,12,H,-0.026468,-0.000613,-0.025175
40,13,H,-0.000048,0.000081,-0.000039
40,14,H,-0.000064,-0.000109,-0.000054
40,15,H,0.026488,0.000616,0.025146
40,16,C,-0.000019,-0.000003,-0.000001
40,17,C,0.000029,0.000002,0.000002
40,18,H,-0.001364,-0.000019,-0.000056
40,19,H,0.001394,0.000018,0.000055
40,20,Cl,0.000011,-0.000000,-0.000000
45,0,C,0.000000,0.000000,-0.000004
45,1,H,0.000018,0.000018,0.000018
45,2,H,0.000015,-0.000016,-0.000016
45,3,H,-0.000016,0.000017,-0.000017
45,4,H,-0.000018,-0.000019,0.000019
45,5,O,-0.000003,-0.000101,-0.000001
45,6,H,0.000062,0.000054,0.000000
45,7,H,-0.000064,0.000049,0.000001
45,8,O,-0.000065,-0.000003,0.000000
45,9,C,-0.000011,0.000001,0.000002
45,10,O,0.000081,-0.000000,-0.000002
45,11,N,0.000046,0.000031,0.000124
45,12,H,-0.027678,-0.000700,-0.026445
45,13,H,-0.000048,0.000082,-0.000039
45,14,H,-0.000067,-0.000115,-0.000057
45,15,H,0.027695,0.000703,0.026417
45,16,C,-0.000018,-0.000003,-0.000000
45,17,C,0.000029,0.000002,0.000002
45,18,H,-0.001365,-0.000022,-0.000063
45,19,H,0.001396,0.000022,0.000062
45,20,Cl,0.000011,-0.000000,-0.000000
50,0,C,0.000001,0.000001,-0.000005
50,1,H,0.000018,0.000017,0.000018
50,2,H,0.000015,-0.000015,-0.000016
50,3,H,-0.000015,0.000016,-0.000016
50,4,H,-0.000019,-0.000020,0.000019
50,5,O,-0.000002,-0.000097,-0.000001
50,6,H,0.000060,0.000053,0.000000
50,7,H,-0.000062,0.000047,0.000001
50,8,O,-0.000065,-0.000003,0.000000
50,9,C,-0.000011,0.000000,0.000002
50,10,O,0.000080,-0.000000,-0.000002
50,11,N,0.000052,0.000036,0.000127
50,12,H,-0.028902,-0.000794,-0.027742
50,13,H,-0.000049,0.000083,-0.000040
50,14,H,-0.000071,-0.000121,-0.000060
50,15,H,0.028916,0.000797,0.027715
50,16,C,-0.000018,-0.000003,-0.000000
50,17,C,0.000029,0.000002,0.000002
50,18,H,-0.001365,-0.000026,-0.000071
50,19,H,0.001395,0.000025,0.000070
50,20,Cl,0.000011,-0.000000,-0.000000
55,0,C,0.000001,0.000002,-0.000006
55,1,H,0.000018,0.000017,0.000017
55,2,H,0.000015,-0.000015,-0.000015
55,3,H,-0.000015,0.000016,-0.000016
55,4,H,-0.000019,-0.000020,0.000019
55,5,O,-0.000002,-0.000094,-0.000001
55,6,H,0.000057,0.000051,0.000000
55,7,H,-0.000060,0.000046,0.000001
55,8,O,-0.000065,-0.000003,0.000000
55,9,C,-0.000010,0.000000,0.000002
55,10,O,0.000080,-0.000000,-0.000002
55,11,N,0.000059,0.000041,0.000130
55,12,H,-0.030140,-0.000894,-0.029065
55,13,H,-0.000049,0.000084,-0.000040
55,14,H,-0.000074,-0.000127,-0.000064
55,15,H,0.030151,0.000898,0.029039
55,16,C,-0.000017,-0.000003,-0.000000
55,17,C,0.000030,0.000002,0.000002
55,18,H,-0.001362,-0.000029,-0.000078
55,19,H,0.001391,0.000028,0.000077
55,20,Cl,0.000011,-0.000000,-0.000000
60,0,C,0.000001,0.000003,-0.000006
60,1,H,0.000017,0.000017,0.000017
60,2,H,0.000015,-0.000015,-0.000015
60,3,H,-0.000014,0.000015,-0.000015
60,4,H,-0.000019,-0.000020,0.000019
60,5,O,-0.000001,-0.000091,-0.000001
60,6,H,0.000055,0.000049,-0.000000
60,7,H,-0.000059,0.000045,0.000001
60,8,O,-0.000064,-0.000003,0.000000
60,9,C,-0.000010,0.000000,0.000002
60,10,O,0.000079,-0.000000,-0.000002
60,11,N,0.000065,0.000047,0.000133
60,12,H,-0.031387,-0.001001,-0.030411
60,13,H,-0.000050,0.000085,-0.000041
60,14,H,-0.000077,-0.000133,-0.000068
60,15,H,0.031395,0.001004,0.030386
60,16,C,-0.000016,-0.000003,-0.000000
60,17,C,0.000030,0.000003,0.000002
60,18,H,-0.001357,-0.000032,-0.000085
60,19,H,0.001386,0.000031,0.000084
60,20,Cl,0.000012,-0.000000,-0.000000
65,0,C,0.000001,0.000003,-0.000007
65,1,H,0.000017,0.000017,0.000017
65,2,H,0.000014,-0.000014,-0.000015
65,3,H,-0.000013,0.000015,-0.000015
65,4,H,-0.000019,-0.000020,0.000020
65,5,O,-0.000001,-0.000088,-0.000001
65,6,H,0.000052,0.000047,-0.000000
65,7,H,-0.000057,0.000043,0.000001
65,8,O,-0.000064,-0.000003,0.000000
65,9,C,-0.000010,0.000000,0.000002
65,10,O,0.000079,-0.000000,-0.000002
65,11,N,0.000071,0.000053,0.000137
65,12,H,-0.032642,-0.001114,-0.031778
65,13,H,-0.000051,0.000086,-0.000042
65,14,H,-0.000081,-0.000140,-0.000071
65,15,H,0.032647,0.001118,0.031754
65,16,C,-0.000015,-0.000003,-0.000000
65,17,C,0.000030,0.000003,0.000002
65,18,H,-0.001349,-0.000035,-0.000092
65,19,H,0.001378,0.000034,0.000091
65,20,Cl,0.000012,-0.000000,-0.000000
70,0,C,0.000001,0.000004,-0.000007
70,1,H,0.000017,0.000016,0.000016
70,2,H,0.000014,-0.000014,-0.000015
70,3,H,-0.000013,0.000014,-0.000014
70,4,H,-0.000019,-0.000021,0.000020
70,5,O,-0.000000,-0.000085,-0.000001
70,6,H,0.000050,0.000046,-0.000000
70,7,H,-0.000055,0.000042,0.000001
70,8,O,-0.000064,-0.000003,0.000000
70,9,C,-0.000009,0.000000,0.000002
70,10,O,0.000079,-0.000000,-0.000002
70,11,N,0.000078,0.000059,0.000140
70,12,H,-0.033897,-0.001234,-0.033160
70,13,H,-0.000051,0.000087,-0.000042
70,14,H,-0.000085,-0.000147,-0.000075
70,15,H,0.033900,0.001238,0.033137
70,16,C,-0.000015,-0.000003,-0.000000
70,17,C,0.000030,0.000003,0.000002
70,18,H,-0.001340,-0.000038,-0.000099
70,19,H,0.001368,0.000037,0.000098
70,20,Cl,0.000012,-0.000000,-0.000000
75,0,C,0.000001,0.000005,-0.000008
75,1,H,0.000016,0.000016,0.000016
75,2,H,0.000014,-0.000014,-0.000014
