step,atom_id,type,x,y,z,vx,vy,vz,fx,fy,fz,mass
10,11,N,10.008750,12.991729,10.008737,-104.623205,-474.627740,382.703748,0.000000,0.000000,0.000000,14.000000
10,12,H,10.934370,13.003122,9.615610,3292.099507,812.057069,483.090212,-0.000000,-0.000000,-0.000000,1.000000
10,13,H,9.539126,13.800392,9.632561,202.532085,-2060.988039,-160.198959,-0.000000,0.000000,-0.000000,1.000000
10,14,H,9.529166,12.197546,9.629331,3644.526498,2753.660544,-247.470214,-0.000000,-0.000000,-0.000000,1.000000
10,15,H,11.340750,13.007480,9.989885,687.027040,1594.296098,-182.539581,0.000000,0.000000,0.000000,1.000000
10,16,C,12.399973,12.991584,9.991349,-24.853493,-188.374203,420.009072,-0.000000,-0.000000,-0.000000,12.000000
10,17,C,13.593305,13.010091,10.006564,60.768905,318.391880,349.493177,0.000000,0.000000,0.000000,12.000000
10,18,H,14.660339,13.002358,9.994694,899.064585,-1902.117826,-974.765240,-0.000000,0.000000,-0.000000,1.000000
10,19,H,15.355647,13.001952,9.999773,266.574595,-336.260744,2670.838991,0.000000,-0.000000,0.000000,1.000000
10,20,Cl,16.627523,12.997449,10.002110,-545.999325,-98.162104,-158.188606,0.000000,-0.000000,0.000000,35.500000
15,0,C,10.007349,10.007438,9.994562,-566.453068,-72.257388,196.984941,0.000000,-0.000000,-0.000000,12.000000
15,1,H,10.629023,10.630836,10.633290,2019.375259,229.778628,-424.557990,0.000000,0.000000,0.000000,1.000000
15,2,H,10.632733,9.364501,9.358441,798.546557,1166.152587,-2033.226708,0.000000,-0.000000,-0.000000,1.000000
15,3,H,9.383002,10.635686,9.362110,1435.260986,3418.837451,-2678.704773,-0.000000,0.000000,-0.000000,1.000000
15,4,H,9.377270,9.359940,10.620566,1787.235957,-533.162896,-55.059864,-0.000000,-0.000000,0.000000,1.000000
15,5,O,13.003612,9.995301,9.996403,102.902559,-13.978301,-247.532207,-0.000000,-0.000000,-0.000000,16.000000
15,6,H,13.768090,10.585509,10.004530,1989.826145,1858.375340,-1106.379205,0.000000,0.000000,0.000000,1.000000
15,7,H,12.231642,10.586805,10.008065,-1777.298380,979.385947,177.213965,-0.000000,0.000000,0.000000,1.000000
15,8,O,14.836437,9.994975,10.008754,61.166106,383.443651,197.965635,-0.000000,-0.000000,0.000000,16.000000
15,9,C,16.001669,10.005083,10.007618,135.152372,-252.645219,292.729724,-0.000000,0.000000,0.000000,12.000000
15,10,O,17.151878,10.001917,9.988338,474.804253,-91.847248,-594.010698,0.000000,-0.000000,-0.000000,16.000000
15,11,N,10.008645,12.991255,10.009121,-105.245235,-473.229939,384.646403,0.000000,0.000000,0.000000,14.000000
15,12,H,10.937647,13.003934,9.616080,3267.807640,814.460867,461.981433,-0.000000,-0.000000,-0.000000,1.000000
15,13,H,9.539320,13.798346,9.632394,184.258305,-2037.221030,-171.689336,-0.000000,0.000000,-0.000000,1.000000
15,14,H,9.532804,12.200284,9.629076,3634.582409,2728.892991,-260.681905,-0.000000,-0.000000,-0.000000,1.000000
15,15,H,11.341452,13.009073,9.989715,710.333047,1592.740676,-160.958120,0.000000,0.000000,0.000000,1.000000
15,16,C,12.399946,12.991395,9.991770,-27.753484,-188.482361,419.957697,-0.000000,-0.000000,-0.000000,12.000000
15,17,C,13.593367,13.010410,10.006914,63.788307,318.670415,349.727209,0.000000,0.000000,0.000000,12.000000
15,18,H,14.661219,13.000454,9.993720,871.299821,-1906.349108,-975.886612,-0.000000,-0.000000,-0.000000,1.000000
15,19,H,15.355930,13.001616,10.002443,292.563954,-334.645925,2670.589770,0.000000,0.000000,0.000000,1.000000
15,20,Cl,16.626978,12.997351,10.001952,-545.150153,-98.371595,-158.244978,0.000000,-0.000000,-0.000000,35.500000
20,0,C,10.006783,10.007364,9.994759,-566.133698,-75.187185,196.073889,0.000000,-0.000000,-0.000000,12.000000
20,1,H,10.631054,10.631076,10.632874,2034.122660,246.277098,-412.587369,0.000000,0.000000,0.000000,1.000000
20,2,H,10.633542,9.365657,9.356397,814.293368,1148.165960,-2050.216447,0.000000,-0.000000,-0.000000,1.000000
20,3,H,9.384426,10.639114,9.359420,1414.160323,3437.050760,-2698.326662,-0.000000,0.000000,-0.000000,1.000000
20,4,H,9.379046,9.359395,10.620521,1767.928620,-552.932244,-36.883536,-0.000000,-0.000000,0.000000,1.000000
20,5,O,13.003715,9.995285,9.996155,102.809482,-16.233920,-247.323658,-0.000000,-0.000000,-0.000000,16.000000
20,6,H,13.770093,10.587380,10.003424,2011.346256,1878.341221,-1104.028863,0.000000,0.000000,0.000000,1.000000
20,7,H,12.229850,10.587795,10.008242,-1799.160093,998.400675,176.555878,-0.000000,0.000000,0.000000,1.000000
20,8,O,14.836497,9.995358,10.008952,59.219232,383.923683,198.764523,-0.000000,-0.000000,0.000000,16.000000
20,9,C,16.001803,10.004831,10.007911,133.270070,-252.193465,294.161464,-0.000000,0.000000,0.000000,12.000000
20,10,O,17.152354,10.001825,9.987743,476.472501,-91.996119,-594.538615,0.000000,-0.000000,-0.000000,16.000000
