step,molecule_id,molecule_type,measurement_type,measurement_id,value,equilibrium,deviation
15,3,ammonia,bond,0,0.994187,1.010000,0.015813
15,3,ammonia,bond,1,1.008739,1.010000,0.001261
15,3,ammonia,bond,2,1.018128,1.010000,0.008128
15,3,ammonia,angle,0,107.873610,107.000000,0.873610
15,3,ammonia,angle,1,106.806854,107.000000,0.193146
15,3,ammonia,angle,2,106.873280,107.000000,0.126720
15,4,acetylene,bond,0,1.060767,1.060000,0.000767
15,4,acetylene,bond,1,1.198294,1.200000,0.001706
15,4,acetylene,bond,2,1.074616,1.060000,0.014616
15,4,acetylene,angle,0,179.089464,180.000000,0.910536
15,4,acetylene,angle,1,179.067442,180.000000,0.932558
15,5,hcl,bond,0,1.247558,1.270000,0.022442
20,0,methane,bond,0,1.079165,1.090000,0.010835
20,0,methane,bond,1,1.106595,1.090000,0.016595
20,0,methane,bond,2,1.094879,1.090000,0.004879
20,0,methane,bond,3,1.075300,1.090000,0.014700
20,0,methane,angle,0,108.885619,109.500000,0.614381
20,0,methane,angle,1,110.072109,109.500000,0.572109
20,0,methane,angle,2,110.403034,109.500000,0.903034
20,0,methane,angle,3,109.193354,109.500000,0.306646
20,0,methane,angle,4,109.537299,109.500000,0.037299
20,0,methane,angle,5,108.731758,109.500000,0.768242
20,1,water,bond,0,0.949980,0.960000,0.010020
20,1,water,bond,1,0.978020,0.960000,0.018020
20,1,water,angle,0,104.668300,104.500000,0.168300
20,2,co2,bond,0,1.161834,1.160000,0.001834
20,2,co2,bond,1,1.152909,1.160000,0.007091
20,2,co2,angle,0,179.593141,180.000000,0.406859
20,3,ammonia,bond,0,0.994091,1.010000,0.015909
20,3,ammonia,bond,1,1.011733,1.010000,0.001733
20,3,ammonia,bond,2,1.017775,1.010000,0.007775
20,3,ammonia,angle,0,107.955135,107.000000,0.955135
20,3,ammonia,angle,1,106.813482,107.000000,0.186518
20,3,ammonia,angle,2,106.822965,107.000000,0.177035
20,4,acetylene,bond,0,1.060773,1.060000,0.000773
20,4,acetylene,bond,1,1.197635,1.200000,0.002365
20,4,acetylene,bond,2,1.074919,1.060000,0.014919
20,4,acetylene,angle,0,179.075147,180.000000,0.924853
20,4,acetylene,angle,1,179.040443,180.000000,0.959557
20,5,hcl,bond,0,1.245302,1.270000,0.024698
25,0,methane,bond,0,1.077118,1.090000,0.012882
25,0,methane,bond,1,1.108042,1.090000,0.018042
25,0,methane,bond,2,1.094599,1.090000,0.004599
25,0,methane,bond,3,1.075899,1.090000,0.014101
25,0,methane,angle,0,108.643829,109.500000,0.856171
25,0,methane,angle,1,110.225153,109.500000,0.725153
25,0,methane,angle,2,110.431777,109.500000,0.931777
25,0,methane,angle,3,109.398874,109.500000,0.101126
25,0,methane,angle,4,109.569625,109.500000,0.069625
25,0,methane,angle,5,108.558080,109.500000,0.941920
25,1,water,bond,0,0.948479,0.960000,0.011521
25,1,water,bond,1,0.978449,0.960000,0.018449
25,1,water,angle,0,104.734208,104.500000,0.234208
25,2,co2,bond,0,1.161883,1.160000,0.001883
25,2,co2,bond,1,1.153204,1.160000,0.006796
25,2,co2,angle,0,179.570400,180.000000,0.429600
25,3,ammonia,bond,0,0.993977,1.010000,0.016023
25,3,ammonia,bond,1,1.014786,1.010000,0.004786
