step,atom_id,type,fx_lj,fy_lj,fz_lj
30,13,H,-0.000038,0.000066,-0.000030
30,14,H,-0.000039,-0.000066,-0.000031
30,15,H,0.021789,0.000470,0.020339
30,16,C,-0.000021,-0.000000,0.000001
30,17,C,0.000029,0.000001,-0.000001
30,18,H,-0.000792,-0.000012,-0.000022
30,19,H,0.000817,0.000012,0.000022
30,20,Cl,0.000015,-0.000000,-0.000000
35,0,C,0.000002,-0.000004,-0.000012
35,1,H,0.000024,0.000024,0.000023
35,2,H,0.000015,-0.000015,-0.000015
35,3,H,-0.000019,0.000017,-0.000019
35,4,H,-0.000022,-0.000023,0.000023
35,5,O,-0.000040,-0.000138,0.000003
35,6,H,0.000105,0.000087,-0.000002
35,7,H,-0.000070,0.000053,-0.000001
35,8,O,-0.000068,-0.000002,0.000001
35,9,C,-0.000007,0.000001,0.000000
35,10,O,0.000079,-0.000001,-0.000001
35,11,N,-0.000030,0.000004,0.000101
35,12,H,-0.021151,-0.000467,-0.019970
35,13,H,-0.000037,0.000064,-0.000028
35,14,H,-0.000040,-0.000066,-0.000031
35,15,H,0.021209,0.000465,0.019927
35,16,C,-0.000021,-0.000000,0.000001
35,17,C,0.000030,0.000001,-0.000001
35,18,H,-0.000744,-0.000013,-0.000022
35,19,H,0.000769,0.000012,0.000022
35,20,Cl,0.000015,-0.000000,-0.000000
40,0,C,0.000002,-0.000005,-0.000013
40,1,H,0.000025,0.000025,0.000023
40,2,H,0.000015,-0.000015,-0.000015
40,3,H,-0.000019,0.000017,-0.000019
40,4,H,-0.000022,-0.000022,0.000023
40,5,O,-0.000042,-0.000139,0.000004
40,6,H,0.000107,0.000088,-0.000003
40,7,H,-0.000069,0.000053,-0.000001
40,8,O,-0.000068,-0.000002,0.000001
40,9,C,-0.000007,0.000001,0.000000
40,10,O,0.000079,-0.000001,-0.000001
40,11,N,-0.000032,0.000007,0.000100
40,12,H,-0.020524,-0.000462,-0.019507
40,13,H,-0.000035,0.000061,-0.000027
40,14,H,-0.000040,-0.000066,-0.000031
40,15,H,0.020583,0.000459,0.019464
40,16,C,-0.000022,-0.000000,0.000001
40,17,C,0.000030,0.000001,-0.000001
40,18,H,-0.000697,-0.000013,-0.000021
40,19,H,0.000722,0.000013,0.000022
40,20,Cl,0.000015,-0.000000,-0.000000
45,0,C,0.000001,-0.000006,-0.000014
45,1,H,0.000025,0.000025,0.000024
45,2,H,0.000015,-0.000015,-0.000014
45,3,H,-0.000019,0.000017,-0.000019
45,4,H,-0.000022,-0.000022,0.000023
45,5,O,-0.000045,-0.000140,0.000004
45,6,H,0.000109,0.000090,-0.000003
45,7,H,-0.000069,0.000052,-0.000001
45,8,O,-0.000068,-0.000002,0.000001
45,9,C,-0.000006,0.000001,0.000000
45,10,O,0.000079,-0.000001,-0.000001
45,11,N,-0.000033,0.000010,0.000099
45,12,H,-0.019856,-0.000454,-0.018998
45,13,H,-0.000034,0.000059,-0.000026
45,14,H,-0.000040,-0.000066,-0.000031
45,15,H,0.019915,0.000452,0.018955
45,16,C,-0.000022,-0.000000,0.000001
45,17,C,0.000031,0.000001,-0.000001
45,18,H,-0.000652,-0.000014,-0.000021
45,19,H,0.000676,0.000013,0.000021
45,20,Cl,0.000016,-0.000000,-0.000000
50,0,C,0.000001,-0.000007,-0.000014
50,1,H,0.000026,0.000026,0.000024
50,2,H,0.000015,-0.000014,-0.000014
50,3,H,-0.000019,0.000017,-0.000018
50,4,H,-0.000022,-0.000022,0.000022
50,5,O,-0.000047,-0.000141,0.000005
50,6,H,0.000111,0.000091,-0.000003
50,7,H,-0.000068,0.000052,-0.000001
50,8,O,-0.000068,-0.000002,0.000001
50,9,C,-0.000006,0.000001,0.000001
50,10,O,0.000079,-0.000001,-0.000001
50,11,N,-0.000035,0.000012,0.000098
50,12,H,-0.019155,-0.000446,-0.018450
50,13,H,-0.000033,0.000056,-0.000025
50,14,H,-0.000040,-0.000066,-0.000031
50,15,H,0.019214,0.000443,0.018406
50,16,C,-0.000022,-0.000000,0.000001
50,17,C,0.000031,0.000001,-0.000001
50,18,H,-0.000609,-0.000014,-0.000021
50,19,H,0.000632,0.000014,0.000021
50,20,Cl,0.000016,-0.000000,-0.000000
55,0,C,-0.000000,-0.000008,-0.000015
55,1,H,0.000026,0.000026,0.000024
55,2,H,0.000014,-0.000014,-0.000013
55,3,H,-0.000019,0.000017,-0.000018
55,4,H,-0.000021,-0.000021,0.000022
55,5,O,-0.000050,-0.000141,0.000005
55,6,H,0.000113,0.000093,-0.000004
55,7,H,-0.000067,0.000051,-0.000001
55,8,O,-0.000068,-0.000002,0.000001
55,9,C,-0.000006,0.000001,0.000001
55,10,O,0.000078,-0.000001,-0.000001
55,11,N,-0.000036,0.000015,0.000097
55,12,H,-0.018426,-0.000436,-0.017866
55,13,H,-0.000031,0.000054,-0.000024
55,14,H,-0.000040,-0.000066,-0.000030
55,15,H,0.018485,0.000433,0.017822
55,16,C,-0.000022,-0.000000,0.000001
55,17,C,0.000031,0.000001,-0.000001
55,18,H,-0.000567,-0.000014,-0.000020
55,19,H,0.000590,0.000014,0.000020
55,20,Cl,0.000017,-0.000000,-0.000000
60,0,C,-0.000001,-0.000009,-0.000015
60,1,H,0.000027,0.000027,0.000025
60,2,H,0.000014,-0.000014,-0.000013
60,3,H,-0.000020,0.000017,-0.000018
60,4,H,-0.000021,-0.000021,0.000022
60,5,O,-0.000052,-0.000142,0.000005
60,6,H,0.000115,0.000094,-0.000004
60,7,H,-0.000067,0.000050,-0.000001
60,8,O,-0.000068,-0.000002,0.000001
60,9,C,-0.000006,0.000001,0.000001
60,10,O,0.000078,-0.000001,-0.000001
60,11,N,-0.000038,0.000017,0.000096
60,12,H,-0.017676,-0.000426,-0.017253
60,13,H,-0.000030,0.000052,-0.000023
60,14,H,-0.000040,-0.000065,-0.000030
60,15,H,0.017734,0.000422,0.017209
60,16,C,-0.000023,-0.000000,0.000001
60,17,C,0.000032,0.000001,-0.000001
60,18,H,-0.000526,-0.000014,-0.000020
60,19,H,0.000550,0.000014,0.000020
60,20,Cl,0.000017,-0.000000,-0.000000
65,0,C,-0.000001,-0.000010,-0.000016
65,1,H,0.000028,0.000028,0.000025
65,2,H,0.000014,-0.000013,-0.000013
65,3,H,-0.000020,0.000017,-0.000018
65,4,H,-0.000021,-0.000021,0.000022
65,5,O,-0.000055,-0.000142,0.000006
65,6,H,0.000116,0.000095,-0.000005
65,7,H,-0.000066,0.000050,-0.000001
65,8,O,-0.000068,-0.000002,0.000001
65,9,C,-0.000005,0.000001,0.000001
65,10,O,0.000078,-0.000001,-0.000001
65,11,N,-0.000039,0.000019,0.000096
65,12,H,-0.016907,-0.000414,-0.016612
65,13,H,-0.000029,0.000049,-0.000022
65,14,H,-0.000040,-0.000065,-0.000030
65,15,H,0.016965,0.000410,0.016568
65,16,C,-0.000023,-0.000000,0.000001
65,17,C,0.000032,0.000001,-0.000001
65,18,H,-0.000488,-0.000014,-0.000019
65,19,H,0.000511,0.000014,0.000019
65,20,Cl,0.000018,-0.000000,-0.000000
70,0,C,-0.000002,-0.000011,-0.000016
70,1,H,0.000028,0.000028,0.000026
70,2,H,0.000014,-0.000013,-0.000012
70,3,H,-0.000020,0.000017,-0.000018
70,4,H,-0.000020,-0.000021,0.000021
