step,atom_id,type,x,y,z
85,5,O,15.0069,10.0045,9.99439
85,6,H,15.7771,10.6068,9.97851
85,7,H,14.2131,10.5759,9.98061
90,0,C,10.0049,10.0062,10.0075
90,1,H,10.6449,10.6178,10.6587
90,2,H,10.64,9.35689,9.39357
90,3,H,9.34218,10.6399,9.35736
90,4,H,9.37753,9.38867,10.6328
90,5,O,15.0073,10.0042,9.99406
90,6,H,15.779,10.6082,9.97686
90,7,H,14.211,10.576,9.97995
95,0,C,10.0056,10.0067,10.0075
95,1,H,10.646,10.6172,10.6605
95,2,H,10.6414,9.35574,9.39427
95,3,H,9.34042,10.6404,9.3567
95,4,H,9.37722,9.38879,10.6333
95,5,O,15.0077,10.0039,9.99373
95,6,H,15.7809,10.6097,9.97521
95,7,H,14.209,10.5761,9.97928
100,0,C,10.0062,10.0072,10.0074
100,1,H,10.6472,10.6167,10.6623
100,2,H,10.6428,9.35455,9.39493
100,3,H,9.33863,10.6409,9.356
100,4,H,9.37688,9.38888,10.6337
100,5,O,15.0081,10.0035,9.9934
100,6,H,15.7828,10.6112,9.97355
100,7,H,14.2068,10.5762,9.97862
105,0,C,10.0069,10.0077,10.0074
105,1,H,10.6485,10.6163,10.6642
105,2,H,10.6443,9.35333,9.39557
105,3,H,9.33681,10.6414,9.35526
105,4,H,9.3765,9.38893,10.6342
105,5,O,15.0085,10.0032,9.99307
105,6,H,15.7849,10.6127,9.97189
105,7,H,14.2047,10.5764,9.97795
110,0,C,10.0076,10.0082,10.0073
110,1,H,10.6497,10.6158,10.6661
110,2,H,10.6458,9.35206,9.39617
110,3,H,9.33495,10.6419,9.35449
110,4,H,9.37609,9.38895,10.6348
110,5,O,15.0089,10.0028,9.99274
110,6,H,15.7869,10.6143,9.97023
110,7,H,14.2024,10.5766,9.97728
115,0,C,10.0082,10.0087,10.0073
115,1,H,10.651,10.6154,10.668
115,2,H,10.6473,9.35076,9.39674
115,3,H,9.33305,10.6425,9.35369
115,4,H,9.37564,9.38894,10.6354
115,5,O,15.0093,10.0025,9.99241
115,6,H,15.789,10.6159,9.96857
115,7,H,14.2002,10.5768,9.97661
120,0,C,10.0089,10.0092,10.0072
120,1,H,10.6524,10.615,10.67
120,2,H,10.6489,9.34943,9.39728
120,3,H,9.33111,10.6431,9.35285
120,4,H,9.37516,9.38889,10.636
120,5,O,15.0097,10.0021,9.99208
120,6,H,15.7912,10.6175,9.96691
120,7,H,14.1978,10.5771,9.97594
125,0,C,10.0096,10.0097,10.0071
125,1,H,10.6537,10.6147,10.672
125,2,H,10.6505,9.34805,9.39779
125,3,H,9.32914,10.6438,9.35198
125,4,H,9.37464,9.38881,10.6366
125,5,O,15.0101,10.0017,9.99176
125,6,H,15.7934,10.6192,9.96524
125,7,H,14.1955,10.5774,9.97527
130,0,C,10.0102,10.0102,10.0071
130,1,H,10.6551,10.6144,10.674
130,2,H,10.6521,9.34664,9.39826
130,3,H,9.32713,10.6445,9.35106
130,4,H,9.37409,9.38869,10.6373
130,5,O,15.0105,10.0014,9.99143
130,6,H,15.7957,10.6209,9.96357
130,7,H,14.1931,10.5777,9.97459
135,0,C,10.0109,10.0107,10.007
135,1,H,10.6566,10.6141,10.6761
135,2,H,10.6538,9.34519,9.3987
135,3,H,9.32509,10.6452,9.35012
135,4,H,9.37351,9.38855,10.638
135,5,O,15.0109,10.001,9.9911
135,6,H,15.798,10.6227,9.96189
135,7,H,14.1906,10.5781,9.97392
140,0,C,10.0116,10.0113,10.0069
140,1,H,10.6581,10.6138,10.6782
140,2,H,10.6555,9.34371,9.3991
